,g,layers,emb,epoch,kt,avg
357,ER,7,4,12,0.8821828633451736,0.04070671559264458
358,ER,7,4,13,0.8840323233363596,0.03963413102964178
359,ER,7,4,14,0.8862582346341232,0.03731373313216554
360,ER,1,8,0,0.8181217743125556,0.07221833603087065
361,ER,1,8,1,0.8295206586926895,0.06693023591752734
362,ER,1,8,2,0.8373802472612573,0.06089095424825124
363,ER,1,8,3,0.8436262857573412,0.05554511347361645
364,ER,1,8,4,0.8487077117076695,0.050918191673631014
365,ER,1,8,5,0.8539650476092504,0.04675736013848976
366,ER,1,8,6,0.8601198738651057,0.04438598894766431
367,ER,1,8,7,0.8650134189085424,0.04459232288207262
368,ER,1,8,8,0.8684052597226042,0.043757493161124525
369,ER,1,8,9,0.8705485160114087,0.043631480846090004
370,ER,1,8,10,0.8724082658057325,0.043689126864881286
371,ER,1,8,11,0.873669916344739,0.04340684007312103
372,ER,1,8,12,0.8747584842985286,0.04320285126215564
373,ER,1,8,13,0.8755504940153559,0.04286268003802465
374,ER,1,8,14,0.8762325647156762,0.0432928241234531
375,ER,4,8,0,0.8576951035276732,0.06930826535560562
376,ER,4,8,1,0.8674757054039377,0.061074257098988366
377,ER,4,8,2,0.8707000183212985,0.05486155307050617
378,ER,4,8,3,0.8730990621892746,0.04792904968296784
379,ER,4,8,4,0.872869441558348,0.04460218240102881
380,ER,4,8,5,0.8723256825240574,0.04328328209877396
381,ER,4,8,6,0.870835522615236,0.043019089816876556
382,ER,4,8,7,0.8722338594221576,0.04064668240340431
383,ER,4,8,8,0.8737632819527832,0.03830285275875812
384,ER,4,8,9,0.8735723518258393,0.03800146568054591
385,ER,4,8,10,0.873857368539617,0.03676741436709098
386,ER,4,8,11,0.8739198727956842,0.03544681247855468
387,ER,4,8,12,0.8728996919295877,0.0365090724430428
388,ER,4,8,13,0.8743697163184908,0.03405587643561085
389,ER,4,8,14,0.8721949946146716,0.0364806959754164
390,ER,7,8,0,0.8401143953708985,0.06395670977039121
391,ER,7,8,1,0.853378915098793,0.060027485099364127
392,ER,7,8,2,0.8579644300628344,0.05515578379389705
393,ER,7,8,3,0.8593238522205802,0.05549752766694908
394,ER,7,8,4,0.8587948772918796,0.05386544800289701
395,ER,7,8,5,0.8558829113937471,0.05155794392114197
396,ER,7,8,6,0.8559696244889252,0.04928909451831177
397,ER,7,8,7,0.8563377691492432,0.04918237412685901
398,ER,7,8,8,0.8572669864716504,0.04929560568707073
399,ER,7,8,9,0.8591953596321048,0.050777727696384445
400,ER,7,8,10,0.8593305044341099,0.05121894968656284
401,ER,7,8,11,0.8589064187505422,0.053134473902057985
